ID,NAME,COUNTRY,Age,Batting style,Bowling style,Playing role,Mat,Inns,Balls,Runs,Wkts,BBI,BBM,Ave,Econ,SR,4w,5w,10
43871,Zulfiqar Babar,Pakistan,41.0,Right-hand bat,Slow left-arm orthodox,Bowler,7.0,7.0,156.0,185.0,12.0,Mar-23,Mar-23,15.41,7.11,13.0,0.0,0.0,0.0
232491,Anwar Ali,Pakistan,32.0,Right-hand bat,Right-arm medium-fast,Bowler,16.0,15.0,265.0,367.0,10.0,Feb-27,Feb-27,36.7,8.3,26.5,0.0,0.0,0.0
39091,Abdur Rehman,Pakistan,39.0,Left-hand bat,Slow left-arm orthodox,Bowler,8.0,8.0,156.0,192.0,11.0,02-Jul,02-Jul,17.45,7.38,14.1,0.0,0.0,0.0
39836,Abdul Razzaq,Pakistan,40.0,Right-hand bat,Right-arm fast-medium,Allrounder,32.0,22.0,339.0,395.0,20.0,Mar-13,Mar-13,19.75,6.99,16.9,0.0,0.0,0.0
343305,Bilawal Bhatti,Pakistan,28.0,Right-hand bat,Right-arm medium-fast,Bowler,9.0,9.0,156.0,255.0,5.0,Feb-36,Feb-36,51.0,9.8,31.2,0.0,0.0,0.0
40250,Fawad Alam,Pakistan,34.0,Left-hand bat,Slow left-arm orthodox,Top-order batsman,24.0,6.0,90.0,95.0,8.0,03-Jul,03-Jul,11.87,6.33,11.2,0.0,0.0,0.0
681117,Faheem Ashraf,Pakistan,25.0,Left-hand bat,Right-arm medium,Bowling allrounder,25.0,24.0,409.0,483.0,24.0,03-May,03-May,20.12,7.08,17.0,0.0,0.0,0.0
628240,Hussain Talat,Pakistan,23.0,Left-hand bat,Right-arm medium-fast,Allrounder,14.0,6.0,36.0,54.0,4.0,02-Dec,02-Dec,13.5,9.0,9.0,0.0,0.0,0.0
681305,Hasan Ali,Pakistan,25.0,Right-hand bat,Right-arm medium-fast,Bowler,29.0,29.0,597.0,835.0,34.0,Mar-23,Mar-23,24.55,8.39,17.5,0.0,0.0,0.0
227758,Imad Wasim,Pakistan,31.0,Left-hand bat,Slow left-arm orthodox,Allrounder,34.0,34.0,756.0,738.0,38.0,May-14,May-14,19.42,5.85,19.8,1.0,1.0,0.0
259551,Junaid Khan,Pakistan,30.0,Right-hand bat,Left-arm fast,Bowler,9.0,9.0,162.0,236.0,8.0,Mar-24,Mar-24,29.5,8.74,20.2,0.0,0.0,0.0
41324,Mohammad Sami,Pakistan,38.0,Right-hand bat,Right-arm fast,Bowler,13.0,13.0,276.0,387.0,21.0,Mar-16,Mar-16,18.42,8.41,13.1,0.0,0.0,0.0
348148,Mohammad Nawaz,Pakistan,25.0,Left-hand bat,Slow left-arm orthodox,Allrounder,16.0,16.0,300.0,340.0,12.0,02-Nov,02-Nov,28.33,6.8,25.0,0.0,0.0,0.0
429981,Mohammad Irfan,Pakistan,37.0,Right-hand bat,Left-arm fast,Bowler,20.0,20.0,417.0,504.0,15.0,Feb-18,Feb-18,33.6,7.25,27.8,0.0,0.0,0.0
41434,Mohammad Hafeez,Pakistan,39.0,Right-hand bat,Right-arm offbreak,Allrounder,89.0,67.0,1117.0,1226.0,54.0,04-Oct,04-Oct,22.7,6.58,20.6,1.0,0.0,0.0
41411,Mohammad Asif,Pakistan,37.0,Left-hand bat,Right-arm fast-medium,Bowler,11.0,11.0,257.0,343.0,13.0,Apr-18,Apr-18,26.38,8.0,19.7,1.0,0.0,0.0
290948,Mohammad Amir,Pakistan,27.0,Left-hand bat,Left-arm fast,Bowler,42.0,42.0,936.0,1066.0,55.0,Apr-13,Apr-13,19.38,6.83,17.0,1.0,0.0,0.0
43265,Sohail Tanvir,Pakistan,35.0,Left-hand bat,Left-arm medium-fast,Bowler,57.0,57.0,1214.0,1454.0,54.0,03-Dec,03-Dec,26.92,7.18,22.4,0.0,0.0,0.0
42657,Shoaib Malik,Pakistan,37.0,Right-hand bat,Right-arm offbreak,Middle-order batsman,111.0,46.0,540.0,644.0,28.0,02-Jul,02-Jul,23.0,7.15,19.2,0.0,0.0,0.0
42655,Shoaib Akhtar,Pakistan,44.0,Right-hand bat,Right-arm fast,Bowler,15.0,15.0,318.0,432.0,19.0,Mar-38,Mar-38,22.73,8.15,16.7,0.0,0.0,0.0
42639,Shahid Afridi,Pakistan,39.0,Right-hand bat,Legbreak googly,Allrounder,99.0,97.0,2168.0,2396.0,98.0,04-Nov,04-Nov,24.44,6.63,22.1,3.0,0.0,0.0
1072470,Shaheen Afridi,Pakistan,19.0,Left-hand bat,Left-arm medium,Bowler,9.0,9.0,204.0,253.0,13.0,Mar-20,Mar-20,19.46,7.44,15.6,0.0,0.0,0.0
922943,Shadab Khan,Pakistan,21.0,Right-hand bat,Legbreak,Allrounder,32.0,32.0,717.0,818.0,44.0,Apr-14,Apr-14,18.59,6.84,16.2,1.0,0.0,0.0
448243,Rumman Raees,Pakistan,28.0,Right-hand bat,Left-arm medium-fast,Bowler,8.0,8.0,173.0,220.0,8.0,Feb-24,Feb-24,27.5,7.63,21.6,0.0,0.0,0.0
343548,Raza Hasan,Pakistan,27.0,Right-hand bat,Slow left-arm orthodox,Bowler,10.0,10.0,228.0,219.0,10.0,Feb-14,Feb-14,21.9,5.76,22.8,0.0,0.0,0.0
42699,Saeed Ajmal,Pakistan,42.0,Right-hand bat,Right-arm offbreak,Bowler,64.0,63.0,1430.0,1516.0,85.0,Apr-19,Apr-19,17.83,6.36,16.8,4.0,0.0,0.0
697279,Usman Shinwari,Pakistan,25.0,Right-hand bat,Left-arm medium-fast,Bowler,15.0,15.0,282.0,381.0,13.0,Mar-31,Mar-31,29.3,8.1,21.6,0.0,0.0,0.0
43524,Umar Gul,Pakistan,35.0,Right-hand bat,Right-arm fast-medium,Bowler,60.0,60.0,1203.0,1443.0,85.0,05-Jun,05-Jun,16.97,7.19,14.1,4.0,2.0,0.0
43590,Wahab Riaz,Pakistan,34.0,Right-hand bat,Left-arm fast,Bowler,27.0,27.0,543.0,723.0,28.0,Mar-18,Mar-18,25.82,7.98,19.3,0.0,0.0,0.0
