Start Date,Opposition,Ground,Dis,Ct,St,Ct Wk,Ct Fi,Runs_scored,Mins,BF,4s,6s,SR,Overs,Mdns,Runs_concieved,Wkts,Econ
24 Nov 2013,South Africa,Cape Town,0,0,0,0,0,43.0,64.0,55.0,6.0,0.0,78.18,6.0,0.0,24.0,2.0,4.0
27 Nov 2013,South Africa,Port Elizabeth,0,0,0,0,0,7.0,9.0,4.0,1.0,0.0,175.0,7.0,1.0,39.0,0.0,5.57
30 Nov 2013,South Africa,Centurion,0,0,0,0,0,1.0,4.0,2.0,0.0,0.0,50.0,2.0,0.0,15.0,0.0,7.5
27 Dec 2013,Sri Lanka,Abu Dhabi,0,0,0,0,0,41.0,54.0,38.0,2.0,1.0,107.89,5.4,0.0,36.0,1.0,6.35
27 Feb 2014,Afghanistan,Fatullah,0,0,0,0,0,21.0,59.0,36.0,2.0,0.0,58.33,4.0,0.0,23.0,0.0,5.75
7 Oct 2014,Australia,Sharjah,1,1,0,0,1,8.0,27.0,21.0,1.0,0.0,38.09,8.0,0.0,52.0,0.0,6.5
12 Oct 2014,Australia,Abu Dhabi,0,0,0,0,0,14.0,39.0,28.0,0.0,1.0,50.0,10.0,0.0,41.0,1.0,4.1
17 Dec 2014,New Zealand,Abu Dhabi,0,0,0,0,0,20.0,20.0,13.0,3.0,0.0,153.84,9.0,0.0,50.0,1.0,5.55
19 Dec 2014,New Zealand,Abu Dhabi,0,0,0,0,0,18.0,13.0,14.0,3.0,0.0,128.57,10.0,0.0,62.0,0.0,6.2
26 May 2015,Zimbabwe,Lahore,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,81.0,1.0,8.1
29 May 2015,Zimbabwe,Lahore,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,55.0,1.0,6.11
31 May 2015,Zimbabwe,Lahore,0,0,0,0,0,38.0,42.0,23.0,2.0,2.0,165.21,2.0,0.0,21.0,0.0,10.5
11 Jul 2015,Sri Lanka,Dambulla,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,38.0,1.0,5.42
15 Jul 2015,Sri Lanka,Pallekele,1,1,0,0,1,29.0,42.0,20.0,2.0,1.0,145.0,7.0,0.0,33.0,1.0,4.71
19 Jul 2015,Sri Lanka,Colombo (RPS),2,2,0,0,2,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,24.0,2.0,4.8
22 Jul 2015,Sri Lanka,Colombo (RPS),0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,41.0,2.0,5.85
26 Jul 2015,Sri Lanka,Hambantota,0,0,0,0,0,11.0,26.0,14.0,2.0,0.0,78.57,9.0,0.0,71.0,0.0,7.88
11 Nov 2015,England,Abu Dhabi,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,32.0,2.0,5.33
13 Nov 2015,England,Abu Dhabi,0,0,0,0,0,23.0,39.0,34.0,1.0,1.0,67.64,9.0,0.0,48.0,0.0,5.33
17 Nov 2015,England,Sharjah,0,0,0,0,0,7.0,15.0,19.0,0.0,0.0,36.84,3.0,0.0,17.0,0.0,5.66
20 Nov 2015,England,Dubai (DSC),0,0,0,0,0,24.0,35.0,24.0,4.0,0.0,100.0,9.0,0.0,75.0,0.0,8.33
25 Jan 2016,New Zealand,Wellington,0,0,0,0,0,16.0,26.0,22.0,0.0,1.0,72.72,9.5,0.0,66.0,3.0,6.71
